,Company.Name,Date,Group.1,Group.2,PR_AVG_Tone,PR_LM_Tone,PR_LIWC_Tone,PR_DIC_Tone,PR_H06_Tone,PR_H08_Tone,MA_AVG_Tone,MA_LM_Tone,MA_LIWC_Tone,MA_DIC_Tone,MA_H06_Tone,MA_H08_Tone
5384,MORSE DEAD - 21/06/10,06/03/2000,MORSE DEAD - 21/06/10,06/03/2000,0.583769968,0.569230769,0.777777778,0.355932203,0.625,0.590909091,0.288888889,-1,1,0.333333333,0.555555556,0.555555556
5705,PEARSON,06/03/2000,PEARSON,06/03/2000,0.721695805,0.149635037,0.83935743,0.725806452,0.947867299,0.945812808,1,1,1,1,1,1
8229,VESUVIUS,06/03/2000,VESUVIUS,06/03/2000,0.473928713,0.030942847,0.765724472,0.406666667,0.58444094,0.58186864,0.84,0.2,1,1,1,1
40,AEGIS GROUP DEAD - 27/03/13,07/03/2000,AEGIS GROUP DEAD - 27/03/13,07/03/2000,0.746222033,0.284615385,0.891304348,0.770700637,0.893333334,0.891156463,0.743333333,0.75,0.9,0.333333333,0.866666667,0.866666667
422,ARRIVA DEAD - 31/08/10,08/03/2000,ARRIVA DEAD - 31/08/10,08/03/2000,0.703226954,0.2,0.894736842,0.786885246,0.821428572,0.813084112,0.518014629,0.28,0.713103449,0.458333334,0.575,0.563636364
1994,CAIRN ENERGY,08/03/2000,CAIRN ENERGY,08/03/2000,0.184073881,-0.06684492,0.560313828,0.04945055,0.192834563,0.184615385,0.783636364,0.8,0.818181818,0.8,0.75,0.75
2413,CORDIANT COMMS.GP. DEAD - DEAD 16/07/03,08/03/2000,CORDIANT COMMS.GP. DEAD - DEAD 16/07/03,08/03/2000,0.671675616,0.129213483,0.901639345,0.597222222,0.866666667,0.863636364,0.602510823,0.142857143,0.636363636,0.5,0.866666667,0.866666667
3518,GKN,08/03/2000,GKN,08/03/2000,0.354228072,0.235208394,0.706702654,0.005270092,0.423959219,0.4,0.52297166,-0.051282051,0.86,0.416666667,0.694736842,0.694736842
3950,HIT ENTERTAINMENT DEAD - 25/05/05,08/03/2000,HIT ENTERTAINMENT DEAD - 25/05/05,08/03/2000,0.8,0,1,1,1,1,0.564444444,0.333333333,0.555555556,1,0.333333333,0.6
4789,LAIRD,09/03/2000,LAIRD,09/03/2000,0.758838608,0.25257732,0.886363637,0.88607595,0.886363637,0.8828125,0.666220096,0.6,0.894736842,0.636363636,0.6,0.6
6326,REXAM,09/03/2000,REXAM,09/03/2000,0.415154362,0.086904762,0.848649663,0.367965368,0.411596278,0.360655738,0.545111155,0.294117647,0.739130435,0.692307692,0.5,0.5
6514,ROYAL DUTCH SHELL A(LON),09/03/2000,ROYAL DUTCH SHELL A(LON),09/03/2000,0,0,0,0,0,0,0.64,0,1,1,0.6,0.6
6327,REXAM,10/03/2000,REXAM,10/03/2000,0.5,0,1,0.5,0.5,0.5,0.528333333,0,0.875,0.3,0.733333334,0.733333334
1409,BRAKE BROTHERS DEAD - 19/09/02,13/03/2000,BRAKE BROTHERS DEAD - 19/09/02,13/03/2000,0.735207286,0.26,0.888888889,0.705263158,0.912162162,0.909722222,0.320362138,-0.190476191,0.623376624,-0.1875,0.683333334,0.673076923
5293,MORGAN ADVANCED MATERIAL,14/03/2000,MORGAN ADVANCED MATERIAL,14/03/2000,0.612058909,0.054347826,0.852564103,0.65625,0.752688172,0.744444445,0.631775196,0.206349206,0.720797721,0.712121212,0.759803921,0.759803921
5453,NATIONAL EXPRESS,14/03/2000,NATIONAL EXPRESS,14/03/2000,0.765791806,0.291366907,0.902953587,0.884615385,0.87431694,0.875706215,0.622222222,0.333333333,0.777777778,0,1,1
7852,TRAFFICMASTER DEAD - 29/07/10,14/03/2000,TRAFFICMASTER DEAD - 29/07/10,14/03/2000,0.625834519,0.402597403,0.762711864,0.387096774,0.79245283,0.784313725,0.722380952,0.40952381,0.952380952,0.25,1,1
6154,RECKITT BENCKISER GROUP,15/03/2000,RECKITT BENCKISER GROUP,15/03/2000,0.570172115,-0.009803922,0.771428572,0.702290077,0.695121951,0.6918239,-0.109523809,-0.333333333,0.285714286,-0.5,0,0
