"","X.substring.year..1..4.."
"909","2009"
"910","2009"
"911","2010"
"912","2010"
"913","2011"
"914","2011"
"915","2011"
"916","2011"
"917","2011"
"918","2011"
"919","2012"
"920","2001"
"921","2001"
"922","2002"
"923","2003"
"924","2003"
"925","2004"
"926","2004"
"927","2004"
"928","2005"
"929","2006"
"930","2006"
"931","2007"
"932","2007"
"933","2008"
"934","2010"
"935","2010"
"936","2011"
"937","2001"
"938","2002"
"939","2003"
"940","2004"
"941","2005"
"942","2006"
"943","2007"
"944","2007"
"945","2011"
"946","2011"
"947","2011"
"948","2012"
"949","2012"
"950","2012"
"951","2009"
"952","2011"
"953","2011"
"954","2012"
"955","2000"
"956","2000"
"957","2000"
"958","2001"
"959","2001"
"960","2001"
"961","2001"
"962","2002"
"963","2002"
"964","2002"
"965","2002"
"966","2003"
"967","2003"
"968","2003"
"969","2003"
"970","2004"
"971","2004"
"972","2004"
"973","2005"
"974","2005"
"975","2005"
"976","2005"
"977","2006"
"978","2006"
"979","2006"
"980","2006"
"981","2006"
"982","2006"
"983","2007"
"984","2007"
"985","2007"
"986","2008"
"987","2008"
"988","2008"
"989","2009"
"990","2009"
"991","2009"
"992","2009"
"993","2010"
"994","2010"
"995","2010"
"996","2011"
"997","2011"
"998","2011"
"999","2011"
"1000","2012"
"1001","2012"
"1002","2012"
"1003","2012"
"1004","2001"
"1005","2001"
"1006","2001"
"1007","2001"
"1008","2002"
"1009","2002"
"1010","2002"
"1011","2002"
"1012","2002"
"1013","2002"
"1014","2002"
"1015","2002"
"1016","2002"
"1017","2002"
"1018","2002"
"1019","2002"
"1020","2002"
"1021","2002"
"1022","2003"
"1023","2003"
"1024","2003"
"1025","2003"
"1026","2003"
"1027","2003"
"1028","2003"
"1029","2003"
"1030","2003"
"1031","2003"
"1032","2003"
"1033","2003"
"1034","2003"
"1035","2003"
"1036","2004"
"1037","2004"
"1038","2004"
"1039","2005"
"1040","2005"
"1041","2005"
"1042","2005"
"1043","2006"
"1044","2006"
"1045","2006"
"1046","2006"
"1047","2006"
"1048","2006"
"1049","2007"
"1050","2007"
"1051","2007"
"1052","2007"
"1053","2007"
"1054","2007"
"1055","2008"
"1056","2008"
"1057","2008"
"1058","2008"
"1059","2008"
"1060","2008"
"1061","2008"
"1062","2009"
"1063","2009"
"1064","2010"
"1065","2010"
"1066","2010"
"1067","2010"
"1068","2010"
"1069","2010"
"1070","2010"
"1071","2010"
"1072","2010"
"1073","2010"
"1074","2010"
"1075","2010"
"1076","2011"
"1077","2011"
"1078","2011"
"1079","2011"
"1080","2011"
"1081","2011"
"1082","2012"
"1083","2012"
"1084","2012"
"1085","2012"
"1086","2012"
"1087","2012"
"1088","2012"
"1089","2012"
"1090","2012"
"1091","2012"
"1092","2012"
"1093","2006"
"1094","2007"
"1095","2002"
"1096","2002"
"1097","2002"
"1098","2003"
"1099","2003"
"1100","2003"
"1101","2003"
"1102","2003"
"1103","2004"
"1104","2004"
"1105","2004"
"1106","2004"
"1107","2005"
"1108","2001"
"1109","2000"
"1110","2000"
"1111","2000"
"1112","2001"
"1113","2001"
"1114","2002"
"1115","2002"
"1116","2002"
"1117","2002"
"1118","2003"
"1119","2003"
"1120","2003"
"1121","2004"
"1122","2004"
"1123","2004"
"1124","2004"
"1125","2004"
"1126","2005"
"1127","2005"
"1128","2005"
"1129","2005"
"1130","2005"
"1131","2005"
"1132","2005"
"1133","2005"
"1134","2006"
"1135","2006"
"1136","2001"
"1137","2001"
"1138","2003"
"1139","2003"
"1140","2003"
"1141","2004"
"1142","2004"
"1143","2004"
"1144","2004"
"1145","2005"
"1146","2005"
"1147","2005"
"1148","2006"
"1149","2006"
"1150","2000"
"1151","2002"
"1152","2002"
"1153","2004"
"1154","2005"
"1155","2005"
"1156","2005"
"1157","2006"
"1158","2007"
"1159","2007"
"1160","2007"
"1161","2007"
"1162","2007"
"1163","2008"
"1164","2008"
"1165","2009"
"1166","2009"
"1167","2009"
"1168","2010"
"1169","2007"
"1170","2008"
"1171","2009"
"1172","2009"
"1173","2009"
"1174","2009"
"1175","2010"
"1176","2010"
"1177","2010"
"1178","2011"
"1179","2011"
"1180","2011"
"1181","2011"
"1182","2011"
"1183","2012"
"1184","2012"
"1185","2012"
"1186","2012"
"1187","2012"
"1188","2000"
"1189","2001"
"1190","2001"
"1191","2002"
"1192","2003"
"1193","2004"
"1194","2004"
"1195","2004"
"1196","2004"
"1197","2005"
"1198","2005"
"1199","2006"
"1200","2006"
"1201","2006"
"1202","2006"
"1203","2007"
"1204","2007"
"1205","2007"
"1206","2007"
"1207","2008"
"1208","2008"
"1209","2008"
"1210","2009"
"1211","2009"
"1212","2009"
"1213","2010"
"1214","2011"
"1215","2011"
"1216","2011"
"1217","2011"
"1218","2012"
"1219","2012"
"1220","2012"
"1221","2000"
"1222","2000"
"1223","2000"
"1224","2000"
"1225","2000"
"1226","2001"
"1227","2001"
"1228","2001"
"1229","2001"
"1230","2001"
"1231","2002"
"1232","2002"
"1233","2002"
"1234","2002"
"1235","2002"
"1236","2002"
"1237","2002"
"1238","2002"
"1239","2002"
"1240","2003"
"1241","2003"
"1242","2003"
"1243","2003"
"1244","2003"
"1245","2003"
"1246","2003"
"1247","2003"
"1248","2003"
"1249","2003"
"1250","2003"
"1251","2003"
"1252","2003"
"1253","2003"
"1254","2004"
"1255","2004"
"1256","2004"
"1257","2004"
"1258","2004"
"1259","2004"
"1260","2004"
"1261","2004"
"1262","2004"
"1263","2004"
"1264","2004"
"1265","2005"
"1266","2005"
"1267","2005"
"1268","2005"
"1269","2005"
"1270","2005"
"1271","2005"
"1272","2005"
"1273","2005"
"1274","2006"
"1275","2006"
"1276","2006"
"1277","2006"
"1278","2006"
"1279","2006"
"1280","2006"
"1281","2006"
"1282","2006"
"1283","2006"
"1284","2006"
"1285","2006"
"1286","2007"
"1287","2007"
"1288","2007"
"1289","2007"
"1290","2007"
"1291","2007"
"1292","2007"
"1293","2007"
"1294","2008"
"1295","2008"
"1296","2008"
"1297","2008"
"1298","2008"
"1299","2008"
"1300","2008"
"1301","2008"
"1302","2008"
"1303","2009"
"1304","2009"
"1305","2009"
"1306","2009"
"1307","2009"
"1308","2009"
"1309","2009"
"1310","2009"
"1311","2009"
"1312","2009"
"1313","2010"
"1314","2010"
"1315","2010"
"1316","2010"
"1317","2010"
"1318","2010"
"1319","2010"
"1320","2010"
